21,'Intel Core i3-10100F [BX8070110100F]','Intel','https://media.solotodo.com/media/products/1274154_picture_1605954761.png',97.25,92925,'https://solotodo.com/products/91723',4,8,3600,4300,65,'LGA 1200','Intel Comet Lake','No posee','Cooler stock Intel',448,2284
22,'Intel Pentium Gold G6400 [BX80701G6400]','Intel','https://media.solotodo.com/media/products/1226980_picture_1599248298.jpg',98.79,94395,'https://solotodo.com/products/86041',2,4,4000,4000,58,'LGA 1200','Intel Comet Lake','UHD 610','Cooler stock Intel',415,0
23,'Intel Core i3-12100F [BX8071512100F]','Intel','https://media.solotodo.com/media/products/1526791_picture_1642173704.jpg',97.11,92790,'https://solotodo.com/products/129578',4,8,3300,4300,65,'LGA 1700','Intel Alder Lake','No posee','Cooler stock Intel',642,3204
24,'Intel Core i3-14100F [BX8071514100F]','Intel','https://media.solotodo.com/media/products/1877336_picture_1707949250.jpg',106.92,102170,'https://solotodo.com/products/233008',4,8,3500,4700,58,'LGA 1700','Intel Raptor Lake','No posee','Cooler stock Intel',0,0
25,'Intel Core i5-10400 [BX8070110400]','Intel','https://media.solotodo.com/media/products/1166165_picture_1590702263.jpg',107.71000000000001,102918,'https://solotodo.com/products/81376',6,12,2900,4300,65,'LGA 1200','Intel Comet Lake','UHD 630','Cooler stock Intel',450,3197
26,'Intel Core i3-13100F [BX8071513100F]','Intel','https://media.solotodo.com/media/products/1719364_picture_1675848926.jpg',109.4,104540,'https://solotodo.com/products/178564',4,8,3400,4500,58,'LGA 1700','Intel Raptor Lake','No posee','Cooler stock Intel',677,0
27,'Intel Core i3-3250 [BX80637I33250]','Intel','https://media.solotodo.com/media/products/intel-core-i3-ivy-bridge-desktop.jpg',106.94,102190,'https://solotodo.com/products/15981',2,4,3500,3500,55,'LGA 1155','Intel Ivy Bridge','HD Graphics 2500','Cooler stock Intel',0,0
28,'Intel Core i3-10100 [BX8070110100]','Intel','https://media.solotodo.com/media/products/1167279_picture_1590703148.jpg',121.7,116293,'https://solotodo.com/products/81382',4,8,3600,4300,65,'LGA 1200','Intel Comet Lake','UHD 630','Cooler stock Intel',448,2284
29,'Intel Core i3-10105 [BX8070110105]','Intel','https://media.solotodo.com/media/products/1370730_picture_1618586101.jpg',122.0,116580,'https://solotodo.com/products/114973',4,8,3700,4400,65,'LGA 1200','Intel Comet Lake','UHD 630','Cooler stock Intel',459,2337
30,'AMD Ryzen 5 5600 [100-100000927MPK]','AMD','https://media.solotodo.com/media/products/1906388_picture_1713802279.webp',119.81,114479,'https://solotodo.com/products/241308',6,12,3500,4400,65,'AM4','AMD Zen 3','No posee','No posee',574,4479
31,'Intel Core i3-12100 [BX8071512100]','Intel','https://media.solotodo.com/media/products/1606262_picture_1653721520.jpg',124.91,114563,'https://solotodo.com/products/142361',4,8,3300,4300,60,'LGA 1700','Intel Alder Lake','UHD 730','Cooler stock Intel',642,0
32,'Intel Core i5-10400F [BX8070110400F]','Intel','https://media.solotodo.com/media/products/1166318_picture_1590702443.jpg',132.0,126129,'https://solotodo.com/products/81377',6,12,2900,4300,65,'LGA 1200','Intel Comet Lake','No posee','Cooler stock Intel',450,3197
33,'AMD Ryzen 3 5300G [100-100000253BOX]','AMD','https://media.solotodo.com/media/products/1580673_picture_1651582928.jpg',129.44,123682,'https://solotodo.com/products/254356',4,8,4000,4200,65,'AM4','AMD Zen 3','Radeon Vega 6','No posee',0,0
34,'Intel Core i5-12400F Tray','Intel','https://media.solotodo.com/media/products/1514024_picture_1640156807.jpg',132.08,126210,'https://solotodo.com/products/252520',6,12,2500,4400,65,'LGA 1700','Intel Alder Lake','No posee','No posee',664,4784
35,'Intel Core i3-10105F [BX8070110105F]','Intel','https://media.solotodo.com/media/products/1370730_picture_1618586101.jpg',125.57000000000001,119990,'https://solotodo.com/products/106190',4,8,3700,4400,65,'LGA 1200','Intel Comet Lake','No posee','Cooler stock Intel',441,2310
36,'AMD Ryzen 5 4600G [100-100000147BOX]','AMD','https://media.solotodo.com/media/products/1664930_picture_1668024501.jpeg',136.04,129990,'https://solotodo.com/products/154930',6,12,3700,4200,65,'AM4','AMD Zen 2','Radeon Vega 7','Wraith Stealth',472,3398
37,'AMD Ryzen 5 5600X [100-100000065MPK]','AMD','https://media.solotodo.com/media/products/1746923_picture_1680711198.jpg',135.17000000000002,129156,'https://solotodo.com/products/196151',6,12,3700,4600,65,'AM4','AMD Zen 3','No posee','Wraith Stealth',604,4562
38,'Intel Core i5-12400F [BX8071512400F]','Intel','https://media.solotodo.com/media/products/1514024_picture_1640156807.jpg',133.43,127500,'https://solotodo.com/products/127944',6,12,2500,4400,65,'LGA 1700','Intel Alder Lake','No posee','Cooler stock Intel',664,4784
39,'AMD Ryzen 5 3500 [100-000000050MPK]','AMD','https://media.solotodo.com/media/products/1564243_picture_1649067314.webp',140.70000000000002,134446,'https://solotodo.com/products/134937',6,6,3600,4100,65,'AM4','AMD Zen 2','No posee','No posee',464,2652
40,'AMD Ryzen 5 8400F [100-100001591MPK]','AMD','https://media.solotodo.com/media/products/2031117_picture_1741789695.avif',146.41,139900,'https://solotodo.com/products/268157',6,12,4200,4700,65,'AM5','AMD Zen 4','No posee','No posee',0,0
41,'Intel Core i5-11400F [BX8070811400F]','Intel','https://media.solotodo.com/media/products/1359501_picture_1617484194.webp',151.53,144796,'https://solotodo.com/products/104373',6,12,2600,4400,65,'LGA 1200','Intel Rocket Lake','No posee','Cooler stock Intel',529,3888
42,'AMD Ryzen 5 5600 [100-100000927BOX]','AMD','https://media.solotodo.com/media/products/1569395_picture_1672268277.jpg',154.25,147390,'https://solotodo.com/products/135981',6,12,3500,4400,65,'AM4','AMD Zen 3','No posee','Wraith Stealth',574,4479
43,'AMD Ryzen 5 8400F [100-100001591BOX]','AMD','https://media.solotodo.com/media/products/1874814_picture_1706850158.jpg',151.64000000000001,144900,'https://solotodo.com/products/244031',6,12,4200,4700,65,'AM5','AMD Zen 4','No posee','Wraith Stealth',0,0
44,'AMD Ryzen 7 5700X [100-100000926MPK]','AMD','https://media.solotodo.com/media/products/1746947_picture_1680711332.jpg',157.96,150938,'https://solotodo.com/products/196153',8,16,3400,4600,65,'AM4','AMD Zen 3','No posee','No posee',588,5330
45,'Intel Core i3-13100 [BX8071513100]','Intel','https://media.solotodo.com/media/products/1719364_picture_1675848926.jpg',161.85,154655,'https://solotodo.com/products/179355',4,8,3400,4500,89,'LGA 1700','Intel Raptor Lake','UHD 730','Cooler stock Intel',677,0
46,'AMD Ryzen 5 5600GT [100-100001488BOX]','AMD','https://media.solotodo.com/media/products/1436922_picture_1628622735.png',155.92000000000002,148990,'https://solotodo.com/products/232390',6,12,3600,4600,65,'AM4','AMD Zen 3','Radeon Vega 7','Wraith Stealth',0,0
47,'Intel Core i5-14400F [CM8071504821113]','Intel','https://media.solotodo.com/media/products/2013790_picture_1738079752.webp',162.25,155032,'https://solotodo.com/products/265062',6,16,2500,4700,65,'LGA 1700','Intel Raptor Lake','No posee','No posee',0,0
48,'AMD Ryzen 5 5600X [100-100000065BOX]','AMD','https://media.solotodo.com/media/products/1264967_picture_1672268308.jpg',162.25,155040,'https://solotodo.com/products/90933',6,12,3700,4600,65,'AM4','AMD Zen 3','No posee','Wraith Stealth',604,4562
49,'AMD Ryzen 5 5600T [100-100001584BOX]','AMD','https://media.solotodo.com/media/products/1997891_picture_1733202715.png',165.61,158251,'https://solotodo.com/products/261031',6,12,3700,4500,65,'AM4','AMD Zen 3','No posee','Wraith Stealth',0,0
50,'Intel Core i3-14100 [BX8071514100]','Intel','https://media.solotodo.com/media/products/1881749_picture_1707949268.jpg',161.89000000000001,154690,'https://solotodo.com/products/233968',4,8,3500,4700,58,'LGA 1700','Intel Raptor Lake','UHD 730','Cooler stock Intel',0,0
51,'Intel Core i5-11400 [BX8070811400]','Intel','https://media.solotodo.com/media/products/1358951_picture_1617308874.jpg',171.83,164194,'https://solotodo.com/products/104271',6,12,2600,4400,65,'LGA 1200','Intel Rocket Lake','UHD 730','Cooler stock Intel',529,3888
52,'AMD Ryzen 5 8500G [100-100000931MPK]','AMD','https://media.solotodo.com/media/products/2021077_picture_1740486721.jpg',164.29,156990,'https://solotodo.com/products/266740',6,12,3500,5000,65,'AM5','AMD Zen 4','Radeon 740M','No posee',0,0
53,'AMD Ryzen 5 5600G [100-100000252BOX]','AMD','https://media.solotodo.com/media/products/1436922_picture_1628622735.png',171.08,163475,'https://solotodo.com/products/117431',6,12,3900,4400,65,'AM4','AMD Zen 3','Radeon Vega 7','Wraith Stealth',574,4479
54,'AMD Ryzen 7 5700G [100-100000263BOX]','AMD','https://media.solotodo.com/media/products/1436898_picture_1628621689.png',170.57,162990,'https://solotodo.com/products/117428',8,16,3800,4600,65,'AM4','AMD Zen 3','Radeon Vega 8','Wraith Stealth',588,2307
55,'Intel Core i5-14400F [BX8071514400F]','Intel','https://media.solotodo.com/media/products/1861058_picture_1707949213.jpg',167.43,159990,'https://solotodo.com/products/229183',6,16,2500,4700,65,'LGA 1700','Intel Raptor Lake','No posee','Cooler stock Intel',0,0
56,'AMD Ryzen 7 5700 [100-100000743BOX]','AMD','https://media.solotodo.com/media/products/1874897_picture_1706850892.webp',172.67000000000002,164990,'https://solotodo.com/products/232391',8,16,3700,4600,65,'AM4','AMD Zen 3','No posee','Wraith Stealth',0,0
